folder                                                   depart                  split  number  annotated_number  ckpt_data_number  is_uploaded  ckpt_status  notes       path                                                                                                                                  
Sports_Development_20241223_curated_t7                   Sports_Development      <NA>     <NA>             6,470               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Sports_Development/20241223/Sports_Development_20241223_curated_t7                 
Sports_Development_20241223_curated_t5_VLA_patch         Sports_Development      <NA>     <NA>             3,980               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Sports_Development/20241223/Sports_Development_20241223_curated_t5_VLA_patch       
Sports_Development_20250109_llava-onevision-0.5b-full    Sports_Development      <NA>     <NA>             1,288               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Sports_Development/20250109/Sports_Development_20250109_llava-onevision-0.5b-full  
Water_Resources_20250106_curated_t5                      Water_Resources         <NA>     <NA>             6,596               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Water_Resources/20250106/Water_Resources_20250106_curated_t5                       
Transportation_20250109_curated_t7                       Transportation          <NA>     <NA>             2,841               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Transportation/20250109/Transportation_20250109_curated_t7                         
Mass_Rapid_Transit_20250109_image_list_keep_0.95         Mass_Rapid_Transit      <NA>     <NA>             4,880               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Mass_Rapid_Transit/20250109/Mass_Rapid_Transit_20250109_image_list_keep_0.95       
Transportation_20241230_curated_t7                       Transportation          <NA>     <NA>             2,774               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Transportation/20241230/Transportation_20241230_curated_t7                         
Taiwan_Power_20250106_image_list_keep_0.95               Taiwan_Power            <NA>     <NA>             1,256               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Taiwan_Power/20250106/Taiwan_Power_20250106_image_list_keep_0.95                   
Public_Works_20250106_image_list_keep_0.95               Public_Works            <NA>     <NA>             1,527               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Public_Works/20250106/Public_Works_20250106_image_list_keep_0.95                   
Public_Works_20241230_curated_t5_part                    Public_Works            <NA>     <NA>             5,760               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Public_Works/20241230/Public_Works_20241230_curated_t5_part                        
Sports_Development_20241223_curated_t6_VLM_100000_patch  Sports_Development      <NA>     <NA>             2,183               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Sports_Development/20241223/Sports_Development_20241223_curated_t6_VLM_100000_patch
Transportation_20250115_curated_t1                       Transportation          <NA>     <NA>             1,613               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Transportation/20250115/Transportation_20250115_curated_t1                         
Transportation_20250120_llava-onevision-0.5b-full        Transportation          <NA>     <NA>                87               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Transportation/20250120/Transportation_20250120_llava-onevision-0.5b-full          
Water_Resources_20250106_curated_t8_VLM_100000_patch     Water_Resources         <NA>     <NA>             1,790               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Water_Resources/20250106/Water_Resources_20250106_curated_t8_VLM_100000_patch      
Ports_Corporation_20250124_curated_t17_split0            Ports_Corporation       <NA>     <NA>             3,491               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Ports_Corporation/20250124/Ports_Corporation_20250124_curated_t17_split0           
Ports_Corporation_20250124_curated_t17_split1            Ports_Corporation       <NA>     <NA>             2,726               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Ports_Corporation/20250124/Ports_Corporation_20250124_curated_t17_split1           
Ports_Corporation_20250124_curated_t17_split2            Ports_Corporation       <NA>     <NA>             3,271               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Ports_Corporation/20250124/Ports_Corporation_20250124_curated_t17_split2           
Ports_Corporation_20250124_curated_t17_split3            Ports_Corporation       <NA>     <NA>             2,420               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Ports_Corporation/20250124/Ports_Corporation_20250124_curated_t17_split3           
Kaoshsiung_76152_retrieval_curated_t220_part1_1          Kaohsiung-full-dataset  <NA>     <NA>             2,940               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Kaohsiung-full-dataset/20241231/Kaoshsiung_76152_retrieval_curated_t220_part1_1    
Kaoshsiung_76152_retrieval_curated_t220_part1_2          Kaohsiung-full-dataset  <NA>     <NA>             2,953               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Kaohsiung-full-dataset/20241231/Kaoshsiung_76152_retrieval_curated_t220_part1_2    
Kaoshsiung_76152_retrieval_curated_t220_part1_3          Kaohsiung-full-dataset  <NA>     <NA>             2,955               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Kaohsiung-full-dataset/20241231/Kaoshsiung_76152_retrieval_curated_t220_part1_3    
Kaoshsiung_76152_retrieval_curated_t220_part1_4          Kaohsiung-full-dataset  <NA>     <NA>               973               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Kaohsiung-full-dataset/20241231/Kaoshsiung_76152_retrieval_curated_t220_part1_4    
